DateTime,Summary,Temp,Rain,Wind_Speed
2012-11-10 16:00:00,Partly Cloudy,6,0,20
2012-11-10 17:00:00,Partly Cloudy,5,0,7
2012-11-10 18:00:00,Scattered Clouds,4,0,14
2012-11-10 19:00:00,Partly Cloudy,4,0,18
2012-11-10 20:00:00,Partly Cloudy,4,0,18
2012-11-10 21:00:00,Partly Cloudy,3,0,18
2012-11-10 22:00:00,Clear,3,0,16
2012-11-10 23:00:00,Clear,2,0,20
2012-11-11 00:00:00,Clear,2,0,16
2012-11-11 01:00:00,Scattered Clouds,2,0,16
2012-11-11 02:00:00,Partly Cloudy,2,0,18
2012-11-11 03:00:00,Partly Cloudy,2,0,22
2012-11-11 04:00:00,Partly Cloudy,2,0,18
2012-11-11 05:00:00,Partly Cloudy,2,0,14
2012-11-11 06:00:00,Clear,2,0,22
2012-11-11 07:00:00,Partly Cloudy,2,0,22
2012-11-11 08:00:00,Partly Cloudy,2,0,20
2012-11-11 09:00:00,Partly Cloudy,3,0,20
2012-11-11 10:00:00,Partly Cloudy,4,0,22
2012-11-11 11:00:00,Partly Cloudy,6,0,16
2012-11-11 12:00:00,Partly Cloudy,7,0,22
2012-11-11 13:00:00,Scattered Clouds,8,0,16
2012-11-11 14:00:00,Mostly Cloudy,8,0,18
2012-11-11 15:00:00,Mostly Cloudy,8,0,13
2012-11-11 16:00:00,Mostly Cloudy,8,0,11
2012-11-11 17:00:00,Mostly Cloudy,7,0,13
2012-11-11 18:00:00,Mostly Cloudy,7,0,14
2012-11-11 19:00:00,Light Rain,7,1,11
2012-11-11 20:00:00,Light Rain,7,1,7
2012-11-11 21:00:00,Light Rain,7,1,11
2012-11-11 22:00:00,Light Drizzle,6,0,7
2012-11-11 23:00:00,Light Drizzle,6,0,9
2012-11-12 00:00:00,Light Drizzle,6,0,9
2012-11-12 01:00:00,Light Drizzle,7,0,11
2012-11-12 02:00:00,Light Drizzle,6,0,13
2012-11-12 03:00:00,Light Drizzle,7,0,18
2012-11-12 04:00:00,Light Drizzle,7,0,13
2012-11-12 05:00:00,Light Drizzle,7,0,7
2012-11-12 06:00:00,Mostly Cloudy,8,0,9
2012-11-12 07:00:00,Light Drizzle,9,0,7
2012-11-12 08:00:00,Light Drizzle,11,0,24
2012-11-12 09:00:00,Mostly Cloudy,12,0,25
2012-11-12 10:00:00,Light Drizzle,12,0,24
2012-11-12 11:00:00,Mostly Cloudy,13,0,18
2012-11-12 12:00:00,Mostly Cloudy,13,0,22
2012-11-12 13:00:00,Mostly Cloudy,13,0,24
2012-11-12 14:00:00,Light Rain,14,1,31
2012-11-12 15:00:00,Mostly Cloudy,14,0,29
2012-11-12 16:00:00,Mostly Cloudy,13,0,27
2012-11-12 17:00:00,Mostly Cloudy,13,0,22
2012-11-12 18:00:00,Scattered Clouds,13,0,20
2012-11-12 19:00:00,Mostly Cloudy,13,0,22
2012-11-12 20:00:00,Mostly Cloudy,13,0,18
2012-11-12 21:00:00,Mostly Cloudy,13,0,20
2012-11-12 22:00:00,Mostly Cloudy,13,0,18
2012-11-12 23:00:00,Light Drizzle,13,0,14
2012-11-13 00:00:00,Mostly Cloudy,13,0,13
2012-11-13 01:00:00,Light Drizzle,12,0,11
2012-11-13 02:00:00,Mostly Cloudy,13,0,13
2012-11-13 03:00:00,Mostly Cloudy,13,0,16
2012-11-13 04:00:00,Mostly Cloudy,13,0,27
2012-11-13 05:00:00,Mostly Cloudy,13,0,35
2012-11-13 06:00:00,Mostly Cloudy,13,0,40
2012-11-13 07:00:00,Mostly Cloudy,13,0,33
2012-11-13 08:00:00,Mostly Cloudy,13,0,29
2012-11-13 09:00:00,Mostly Cloudy,12,0,38
2012-11-13 10:00:00,Mostly Cloudy,13,0,33
2012-11-13 11:00:00,Mostly Cloudy,13,0,38
2012-11-13 12:00:00,Mostly Cloudy,13,0,40
2012-11-13 13:00:00,Mostly Cloudy,13,0,42
2012-11-13 14:00:00,Mostly Cloudy,13,0,40
2012-11-13 15:00:00,Mostly Cloudy,13,0,35
2012-11-13 16:00:00,Mostly Cloudy,13,0,35
2012-11-13 17:00:00,Mostly Cloudy,13,0,27
2012-11-13 18:00:00,Light Drizzle,12,0,25
2012-11-13 19:00:00,Mostly Cloudy,13,0,33
2012-11-13 20:00:00,Mostly Cloudy,13,0,25
2012-11-13 21:00:00,Light Drizzle,12,0,22
2012-11-13 22:00:00,Light Drizzle,12,0,20
2012-11-13 23:00:00,Light Drizzle,12,0,14
2012-11-14 00:00:00,Light Drizzle,12,0,22
2012-11-14 01:00:00,Overcast,13,0,24
2012-11-14 02:00:00,Mostly Cloudy,12,0,22
2012-11-14 03:00:00,Mostly Cloudy,12,0,18
2012-11-14 04:00:00,Mostly Cloudy,12,0,18
2012-11-14 05:00:00,Mostly Cloudy,12,0,16
2012-11-14 06:00:00,Mostly Cloudy,11,0,22
2012-11-14 07:00:00,Mostly Cloudy,11,0,20
2012-11-14 08:00:00,Mostly Cloudy,11,0,16
2012-11-14 09:00:00,Mostly Cloudy,11,0,20
2012-11-14 10:00:00,Mostly Cloudy,12,0,18
2012-11-14 11:00:00,Mostly Cloudy,12,0,18
2012-11-14 12:00:00,Mostly Cloudy,13,0,25
2012-11-14 13:00:00,Mostly Cloudy,13,0,18
2012-11-14 14:00:00,Mostly Cloudy,13,0,20
2012-11-14 15:00:00,Mostly Cloudy,13,0,18
2012-11-14 16:00:00,Mostly Cloudy,12,0,16
2012-11-14 17:00:00,Mostly Cloudy,11,0,13
2012-11-14 18:00:00,Scattered Clouds,10,0,7
2012-11-14 19:00:00,Scattered Clouds,9,0,9
2012-11-14 20:00:00,Mostly Cloudy,9,0,9
2012-11-14 21:00:00,Mostly Cloudy,10,0,7
2012-11-14 22:00:00,Mostly Cloudy,10,0,7
2012-11-14 23:00:00,Partly Cloudy,9,0,11
2012-11-15 00:00:00,Mostly Cloudy,9,0,9
2012-11-15 01:00:00,Mostly Cloudy,9,0,7
2012-11-15 02:00:00,Mostly Cloudy,10,0,9
2012-11-15 03:00:00,Mostly Cloudy,9,0,3
2012-11-15 04:00:00,Mostly Cloudy,9,0,5
2012-11-15 05:00:00,Mostly Cloudy,9,0,5
2012-11-15 06:00:00,Mostly Cloudy,9,0,7
2012-11-15 07:00:00,Mostly Cloudy,9,0,3
2012-11-15 09:00:00,Mostly Cloudy,9,0,3
2012-11-15 10:00:00,Mostly Cloudy,10,0,9
2012-11-15 11:00:00,Scattered Clouds,11,0,11
2012-11-15 12:00:00,Partly Cloudy,12,0,13
2012-11-15 13:00:00,Scattered Clouds,12,0,18
2012-11-15 14:00:00,Partly Cloudy,13,0,18
2012-11-15 15:00:00,Mostly Cloudy,12,0,14
2012-11-15 16:00:00,Mostly Cloudy,11,0,13
2012-11-15 17:00:00,Mostly Cloudy,10,0,7
2012-11-15 18:00:00,Scattered Clouds,9,0,9
2012-11-15 19:00:00,Scattered Clouds,9,0,5
2012-11-15 20:00:00,Mostly Cloudy,9,0,7
2012-11-15 21:00:00,Mostly Cloudy,9,0,11
2012-11-15 22:00:00,Mostly Cloudy,8,0,9
2012-11-15 23:00:00,Scattered Clouds,7,0,11
2012-11-16 00:00:00,Mostly Cloudy,6,0,9
2012-11-16 01:00:00,Mostly Cloudy,7,0,13
2012-11-16 02:00:00,Scattered Clouds,6,0,11
2012-11-16 03:00:00,Mostly Cloudy,7,0,7
2012-11-16 04:00:00,Scattered Clouds,6,0,9
2012-11-16 05:00:00,Mostly Cloudy,6,0,5
2012-11-16 06:00:00,Mostly Cloudy,6,0,5
2012-11-16 07:00:00,Mostly Cloudy,6,0,3
2012-11-16 08:00:00,Mostly Cloudy,4,0,5
2012-11-16 09:00:00,Scattered Clouds,4,0,5
2012-11-16 10:00:00,Scattered Clouds,6,0,5
2012-11-16 11:00:00,Mostly Cloudy,7,0,5
2012-11-16 12:00:00,Mostly Cloudy,8,0,3
2012-11-16 13:00:00,Mostly Cloudy,8,0,7
2012-11-16 14:00:00,Light Drizzle,8,0,9
2012-11-16 15:00:00,Mostly Cloudy,8,0,7
2012-11-16 16:00:00,Mostly Cloudy,8,0,7
2012-11-16 17:00:00,Mostly Cloudy,8,0,13
2012-11-16 18:00:00,Mostly Cloudy,8,0,9
2012-11-16 19:00:00,Mostly Cloudy,7,0,9
2012-11-16 20:00:00,Mostly Cloudy,7,0,11
2012-11-16 21:00:00,Mostly Cloudy,6,0,13
2012-11-16 22:00:00,Mostly Cloudy,7,0,11
2012-11-16 23:00:00,Light Rain,6,1,18
2012-11-17 00:00:00,Light Rain,6,1,13
2012-11-17 01:00:00,Mostly Cloudy,6,0,13
2012-11-17 02:00:00,Mostly Cloudy,6,0,13
2012-11-17 03:00:00,Mostly Cloudy,6,0,14
2012-11-17 04:00:00,Mostly Cloudy,6,0,14
2012-11-17 05:00:00,Scattered Clouds,5,0,13
2012-11-17 06:00:00,Mostly Cloudy,4,0,16
2012-11-17 07:00:00,Mostly Cloudy,3,0,14
2012-11-17 08:00:00,Mostly Cloudy,3,0,16
2012-11-17 09:00:00,Partly Cloudy,4,0,22
